subject_id,raw_dimension_x,raw_dimension_y,raw_dimension_z,raw_voxel_size_x,raw_voxel_size_y,raw_voxel_size_z,raw_max_b,raw_neighbor_corr,raw_num_bad_slices,raw_num_directions,raw_coherence_index,raw_incoherence_index,t1_dimension_x,t1_dimension_y,t1_dimension_z,t1_voxel_size_x,t1_voxel_size_y,t1_voxel_size_z,t1_max_b,t1_neighbor_corr,t1_num_bad_slices,t1_num_directions,t1_coherence_index,t1_incoherence_index,mean_fd,max_fd,max_rotation,max_translation,max_rel_rotation,max_rel_translation,t1_dice_distance,file_name,session_id,task_id,dir_id,acq_id,space_id,rec_id,run_id,participant_id
NDARUU615WPR,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.654195,113.0,129.0,1195.42,17288.2,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.881383,0.0,129.0,2866.83,24951.6,1.0387393374,5.5577196634,0.0612725168,0.7133332528,0.0435294665,0.7936353968,0.0296849115,sub-NDARUU615WPR_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUU615WPR
NDARUU801VFA,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.735466,0.0,129.0,1041.4,14625.5,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.858944,0.0,129.0,2542.97,19317.0,0.3560326795,2.582050708,0.0090182656,0.9940589746,0.0143713756,0.6872710357,0.0484595894,sub-NDARUU801VFA_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUU801VFA
NDARUV041YCY,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.84462,0.0,129.0,539.99,8665.73,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.919671,0.0,129.0,2477.49,22828.3,0.159478371,0.8096096901,0.0074238214,0.4651379432,0.0074724571,0.2930534143,0.0289727897,sub-NDARUV041YCY_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUV041YCY
NDARUV578DU2,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.581794,95.0,129.0,1766.59,27347.3,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.79102,0.0,129.0,2773.18,21357.5,1.5893848777,6.3757113592,0.0748597234,2.672344018,0.0688805375,2.1451416992,0.0320721513,sub-NDARUV578DU2_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUV578DU2
NDARUW206XUG,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.751681,0.0,129.0,748.154,11870.3,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.936761,0.0,129.0,2315.44,18481.6,0.1029011745,0.4066650779,0.0018101503,0.5139860528,0.0011858743,0.1959968107,0.0299439828,sub-NDARUW206XUG_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUW206XUG
NDARUW904FMQ,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.733699,0.0,129.0,1108.79,16655.7,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.842691,0.0,129.0,2729.6,19900.9,0.444404105,2.7709825658,0.0071777566,1.316000289,0.0065597465,1.2497714813,0.0370738097,sub-NDARUW904FMQ_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUW904FMQ
NDARUX086TVT,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.774374,21.0,129.0,838.046,12888.1,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.914238,0.0,129.0,2503.73,21719.0,0.4707629468,5.9743168473,0.0456931107,0.9747576026,0.0723573938,1.8893536671,0.0295791749,sub-NDARUX086TVT_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUX086TVT
NDARUX187JTB,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.831259,0.0,129.0,853.635,10946.9,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.927761,0.0,129.0,3098.5,23293.2,0.19110185,1.2718902857,0.0113059077,0.8398488973,0.0095209439,0.4189987996,0.0277548343,sub-NDARUX187JTB_ses-HBNsiteCUNY_acq-64dir,ses-HBNsiteCUNY,,,acq-64dir,,,,sub-NDARUX187JTB
NDARUX284GGB,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.704967,63.0,129.0,1939.93,23926.9,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.810278,0.0,129.0,2759.31,23514.1,1.3938317103,11.6497768921,0.0486284345,3.876652637,0.0425467948,3.3423053955,0.0518023461,sub-NDARUX284GGB_ses-HBNsiteRU_acq-64dir,ses-HBNsiteRU,,,acq-64dir,,,,sub-NDARUX284GGB
NDARUX315PE6,104.0,104.0,72.0,1.79808,1.79808,1.8,2000.0,0.743705,3.0,129.0,1307.51,16745.0,108.0,129.0,109.0,1.8,1.8,1.8,2000.0,0.913008,0.0,129.0,3071.55,26279.1,0.6835628611,4.6072690041,0.0437930226,2.953809254,0.0304458635,1.857078875,0.02447367,sub-NDARUX315PE6_ses-HBNsiteCBIC_acq-64dir,ses-HBNsiteCBIC,,,acq-64dir,,,,sub-NDARUX315PE6
